2,57,73,45,82,1,15,69,27,87,58,41,62,47,24,35,93,42,49,52,18,66,88,55,2,8,21,85,10,43,51,77,66,66,10,74,17,86,81,27,85,38,74,7,44,28,54,10,37,1,48,32,45,12,39,9,49,83,47,41,36,51,58,27,99,12,92,93,53,94,96,51,2,2,23,77,88,48,94,83,24,46,45,24,79,70,48,18,5,2,93,95,23,25,88,28,25,33,97,39
91,32,48,31,29,96,81,35,3,41,80,18,83,85,96,73,73,82,83,87,80,12,13,66,75,1,70,46,20,19,75,8,82,14,5,93,90,88,81,1,96,1,15,3,4,39,6,27,35,66,74,59,64,21,65,79,39,75,56,27,37,58,85,39,59,58,87,32,73,60,74,90,72,29,1,70,92,35,46,17,36,80,60,38,43,46,84,33,87,47,74,81,78,73,32,37,53,2,21,12
54,86,92,91,54,14,100,47,63,18,32,72,4,94,32,32,31,43,94,81,24,57,39,31,52,20,7,38,45,64,64,33,22,86,19,27,71,14,73,11,65,19,56,15,32,61,51,81,51,31,12,55,18,8,33,65,7,76,94,38,59,37,80,7,31,59,32,63,74,78,92,89,18,30,63,7,76,34,92,10,54,6,77,75,28,58,94,4,95,24,97,60,89,33,97,55,50,57,66,63
44,66,68,1,95,48,32,16,43,79,37,1,70,12,73,52,47,1,15,58,89,89,33,32,18,44,90,8,51,21,5,11,57,10,26,59,78,72,83,78,58,17,68,64,22,22,28,99,86,42,11,85,47,18,21,100,100,74,20,45,82,58,42,38,60,21,82,95,40,15,93,100,36,23,82,58,77,96,3,59,74,78,100,48,54,19,33,50,11,19,91,72,27,49,64,97,81,1,56,1
54,64,61,91,42,23,55,15,25,96,9,1,54,83,88,91,51,29,45,26,16,75,47,32,23,17,51,3,97,73,12,14,46,27,47,34,75,100,47,23,25,33,18,93,43,70,72,78,88,91,78,54,75,53,52,18,88,54,7,17,16,40,21,85,10,9,27,94,16,81,49,43,85,8,7,26,88,31,64,69,71,41,83,51,31,63,81,12,19,49,9,3,77,64,48,58,92,78,98,23
61,8,95,9,68,95,23,33,82,61,55,89,38,64,4,52,53,43,87,36,49,61,72,72,85,43,57,33,50,56,35,77,60,71,15,51,80,18,50,42,93,70,19,64,19,72,54,15,40,87,34,17,68,23,52,41,31,98,68,42,86,13,2,47,60,84,69,40,16,55,8,24,20,13,62,12,12,20,4,5,77,41,46,58,22,6,2,2,12,37,96,5,82,33,19,13,35,13,15,68
8,17,22,52,39,21,85,48,87,20,94,38,71,58,74,42,97,38,13,34,43,20,59,91,88,63,31,89,69,59,43,3,76,73,39,26,35,48,19,32,10,60,4,13,35,78,95,90,6,84,69,86,53,23,31,62,38,67,25,97,99,90,15,21,80,61,83,54,36,60,14,56,59,9,43,19,80,1,61,31,50,63,38,2,97,94,37,48,35,38,62,42,81,74,12,27,76,53,79,83
57,3,44,56,81,79,2,48,27,51,36,46,28,36,13,53,20,45,12,68,6,19,48,55,82,11,33,71,60,96,74,65,10,55,74,9,11,77,81,63,87,20,76,73,39,34,97,48,5,55,42,90,81,90,21,57,3,65,65,35,92,58,88,62,96,1,36,14,99,19,65,9,21,15,64,74,5,58,94,55,37,6,29,70,83,12,84,56,11,11,75,62,41,56,5,8,71,57,33,11
44,74,37,69,52,78,77,24,60,14,81,25,71,16,82,29,51,33,94,87,7,55,8,36,1,37,86,95,54,63,31,84,38,21,89,36,61,52,3,3,6,17,1,43,84,75,77,93,79,44,2,99,14,87,48,73,97,81,82,24,54,63,84,89,17,92,57,66,52,84,2,72,70,80,22,97,84,53,1,76,10,69,44,8,36,61,62,50,61,73,21,31,38,60,65,26,68,72,26,43
68,75,53,45,96,42,28,34,90,83,67,89,40,40,4,1,87,31,80,53,89,84,84,68,63,28,58,87,49,40,83,82,1,50,10,84,75,100,76,63,78,21,56,32,85,98,95,75,61,54,56,72,10,27,9,66,48,9,62,45,63,61,16,100,17,83,87,16,21,52,69,4,42,47,73,45,33,95,84,14,2,74,59,90,50,81,46,6,38,57,62,19,86,82,46,8,77,3,45,1
81,89,19,56,35,73,5,33,60,65,79,89,19,11,97,31,18,15,27,16,65,38,14,77,66,7,91,39,3,42,23,71,27,36,10,68,55,39,15,18,98,99,64,21,55,9,69,23,59,52,26,79,72,93,82,27,63,49,13,85,63,16,11,46,59,68,51,47,74,57,54,6,23,34,44,6,51,84,52,82,47,76,21,16,51,59,98,37,21,48,88,73,60,52,63,42,69,98,93,15
7,38,15,72,99,48,22,95,7,7,66,89,96,84,12,78,11,30,85,32,8,6,26,52,87,44,12,64,69,48,17,58,79,40,78,36,46,73,22,41,2,20,27,26,96,71,41,75,80,11,32,38,20,77,57,18,43,14,74,51,47,57,45,4,33,77,26,78,96,7,9,63,44,62,75,59,97,61,98,88,85,29,99,53,82,81,61,51,5,36,44,95,7,7,83,38,66,54,40,6
45,1,18,58,94,32,85,83,29,35,6,48,10,10,14,4,8,29,72,34,68,72,47,72,61,30,66,80,85,20,61,28,41,36,41,90,56,31,7,54,90,89,33,85,40,1,49,31,87,5,24,99,97,36,67,82,97,50,95,66,31,37,86,41,85,90,2,35,53,68,47,41,86,41,16,24,27,62,51,14,47,26,60,84,28,50,28,65,3,48,77,39,8,30,34,16,59,31,6,76
14,57,65,14,63,38,26,44,42,56,45,81,8,71,16,27,44,27,22,26,59,68,64,44,95,39,44,13,72,46,68,34,46,19,75,3,48,81,59,55,54,44,31,97,59,85,21,36,53,67,76,75,89,68,32,20,64,16,27,20,20,19,20,96,74,86,47,34,32,16,95,78,34,55,8,36,34,51,46,69,36,10,20,78,37,11,6,68,76,56,32,13,80,78,51,48,93,10,70,5
73,54,31,76,59,87,70,44,54,53,99,4,96,8,32,82,92,62,44,48,35,89,47,16,58,88,11,39,32,58,76,63,82,32,18,15,64,85,83,80,16,28,4,25,79,12,44,3,40,83,57,7,8,58,47,30,20,65,67,40,78,32,61,44,75,25,20,76,2,77,8,84,50,31,22,82,34,60,98,73,26,50,30,46,27,82,66,78,96,100,56,73,100,59,20,9,59,86,62,6
68,43,21,53,78,86,64,33,75,51,12,5,35,89,33,49,93,90,90,60,36,93,4,7,25,14,31,24,48,90,7,18,63,27,93,13,34,38,98,46,62,52,31,74,69,71,49,64,50,19,20,12,58,89,82,97,94,75,56,15,45,61,83,80,74,21,42,22,40,15,37,98,10,60,95,67,69,93,22,46,85,35,76,46,4,87,82,60,98,76,87,1,10,48,22,47,6,92,86,54
46,56,28,21,72,24,8,90,20,37,25,51,39,67,5,46,68,3,32,44,26,26,10,42,55,87,5,36,63,78,78,15,62,81,79,95,7,86,10,94,44,55,60,37,31,79,92,13,52,94,25,60,98,21,11,98,8,4,71,91,92,21,77,56,70,18,75,55,84,39,24,67,91,37,70,66,10,87,9,33,26,88,92,94,65,1,51,17,9,13,84,11,33,47,61,2,32,56,82,74
78,83,19,42,7,58,68,74,19,11,80,40,84,79,89,7,84,18,98,96,82,10,13,81,12,46,20,27,99,79,6,68,38,22,47,57,50,51,64,31,67,99,37,61,41,41,29,14,14,52,100,89,91,93,61,97,54,75,47,8,94,10,19,32,67,87,39,14,94,66,85,19,93,58,71,16,24,30,67,65,47,75,85,62,4,93,68,34,33,54,14,66,91,89,43,43,54,60,37,4
25,43,23,6,18,66,55,77,75,17,95,96,92,14,52,10,1,79,58,49,53,71,73,32,9,17,80,44,23,84,19,39,10,33,78,42,38,49,37,93,69,78,38,33,5,31,22,61,6,21,16,46,49,58,19,62,12,25,65,96,96,6,78,79,28,88,91,29,64,81,57,38,10,78,42,14,29,28,7,7,88,35,97,8,30,55,13,20,55,69,18,15,64,12,77,80,33,81,21,39
56,44,3,50,50,40,37,75,9,23,62,13,97,64,77,52,47,42,67,6,68,94,92,13,65,100,70,99,40,99,33,2,43,75,22,4,16,1,43,90,84,74,21,93,22,60,81,46,85,82,1,61,14,67,2,85,28,99,47,79,76,86,65,16,85,14,27,40,18,4,6,29,3,42,14,81,75,20,95,97,95,57,42,64,25,45,60,68,28,9,85,83,51,83,11,61,37,85,58,50
31,13,88,28,9,23,14,12,61,23,25,10,50,29,15,46,93,51,79,53,57,46,92,57,76,82,34,22,95,92,39,27,31,41,60,65,59,69,64,2,6,57,79,13,81,40,20,13,66,37,86,49,40,70,88,44,71,25,43,3,97,83,89,1,66,27,87,54,93,8,90,75,39,55,27,93,45,32,33,76,52,60,69,4,33,93,32,29,8,18,41,64,40,33,33,90,100,80,28,3
14,72,94,3,21,81,71,67,18,30,26,40,31,36,12,9,7,47,9,30,99,89,56,56,27,60,63,65,9,43,79,25,50,81,21,87,22,65,67,2,79,54,86,51,31,7,32,18,79,12,79,25,68,97,88,12,71,35,95,2,17,88,92,16,78,58,27,2,64,74,13,19,8,24,54,7,52,51,40,48,64,7,54,24,11,14,74,91,71,93,33,41,97,16,59,96,38,69,48,91
53,13,43,54,82,92,30,10,58,96,8,14,19,58,85,77,4,93,25,87,56,79,20,14,27,14,97,60,97,40,83,48,15,48,32,43,85,10,86,62,18,61,16,6,27,51,38,75,95,93,45,77,37,6,69,21,100,79,77,97,23,57,81,36,88,38,64,21,48,73,42,30,10,26,49,80,65,39,7,30,76,19,14,100,92,28,52,39,68,50,80,2,86,26,34,60,14,76,44,49
92,47,97,94,87,24,26,54,49,18,73,67,67,2,97,6,1,46,25,35,27,91,29,33,27,68,78,94,80,65,99,46,68,38,100,51,37,42,28,14,34,49,75,36,64,38,65,52,25,28,83,73,74,3,88,88,64,99,45,72,61,98,53,45,1,80,47,19,21,73,61,24,32,82,39,23,91,40,50,69,7,86,80,73,71,77,21,35,9,71,30,48,71,58,94,22,2,59,18,56
1,52,11,98,76,41,91,47,45,27,77,58,100,95,26,7,95,74,36,23,65,92,54,8,13,29,79,33,20,80,8,41,82,11,41,30,70,80,80,4,60,39,93,71,52,13,65,47,43,53,6,28,41,82,49,83,66,92,7,77,6,3,42,54,73,59,28,28,13,46,70,42,85,81,46,72,58,91,79,14,69,63,62,37,48,88,79,10,56,58,98,75,81,9,84,79,32,75,94,54
33,55,8,85,88,93,16,76,47,16,98,55,94,98,21,16,19,100,87,3,42,96,89,22,60,15,62,96,49,99,73,82,83,34,4,34,94,54,88,76,50,25,72,94,71,13,97,30,86,64,82,72,84,61,79,39,28,60,64,6,6,60,69,56,87,33,76,79,77,68,69,39,87,43,74,99,30,45,76,22,56,38,100,47,42,93,44,22,24,19,89,39,73,10,56,94,64,86,85,78
78,71,60,90,67,68,19,30,53,48,41,58,93,24,49,50,40,33,52,30,77,8,14,93,40,4,28,33,99,98,54,90,26,69,67,85,46,61,74,87,3,34,41,39,74,75,89,76,22,60,44,68,99,18,75,71,25,30,72,4,87,93,45,95,27,59,68,39,27,18,22,11,75,90,79,12,86,19,79,73,20,83,23,8,81,79,4,73,22,84,45,53,77,15,24,5,71,31,70,65
3,99,32,76,91,76,99,10,71,16,84,74,62,57,5,13,95,65,36,59,25,95,81,73,36,8,8,65,100,84,61,71,34,44,60,68,73,69,65,77,10,98,84,77,44,74,67,100,58,65,80,9,93,39,14,36,65,100,85,85,84,95,70,56,70,76,26,86,35,80,6,96,85,73,75,48,90,3,32,81,30,56,40,52,85,71,100,53,43,55,95,27,78,99,12,65,30,77,17,58
52,22,61,36,100,9,60,41,80,60,72,35,90,84,64,43,59,79,73,17,51,29,77,74,69,44,91,94,100,70,62,84,84,93,26,33,86,42,9,62,66,83,67,71,63,10,48,1,98,64,7,63,1,9,4,86,23,7,88,70,88,78,89,89,90,16,5,42,80,71,8,94,44,94,42,89,28,2,99,24,38,33,97,53,32,41,4,55,94,39,54,54,75,10,94,67,48,49,11,24
21,66,38,62,82,1,68,36,70,87,26,84,14,34,60,92,44,43,93,41,60,93,5,82,93,55,48,24,5,36,27,15,74,1,82,24,45,35,81,45,52,23,73,95,92,92,34,55,94,17,30,57,64,80,49,45,57,95,29,15,33,41,18,10,74,29,66,30,23,52,66,80,15,57,28,98,43,82,77,56,82,77,37,29,18,53,23,72,91,3,67,76,80,25,34,86,58,18,84,18
61,41,21,8,62,52,42,42,87,73,37,24,67,52,40,19,77,74,74,78,88,43,23,55,10,44,97,15,41,60,49,86,91,13,76,42,78,26,65,74,76,36,80,70,97,38,31,14,75,50,30,69,64,51,52,45,3,96,50,8,52,79,84,41,66,44,23,41,14,41,79,50,10,91,8,11,25,67,100,74,23,19,35,35,66,83,20,44,27,100,2,14,62,83,79,19,92,91,92,79
67,42,68,34,45,11,100,83,19,95,73,7,25,29,58,76,3,22,9,34,78,1,35,81,8,24,100,97,19,21,25,54,81,25,74,86,57,4,68,74,6,2,44,94,57,96,18,53,82,86,4,46,4,29,99,16,22,54,8,13,77,19,2,26,71,42,43,23,22,72,37,23,91,99,95,93,7,37,44,78,40,57,41,16,81,20,94,40,7,80,31,41,71,92,85,68,9,17,53,71
